 klausurnummer | note 
---------------+------
             2 |    5
             3 |    5
             4 |    5
             6 |    1
             7 |    5
             8 |  3.3
             9 |    2
            11 |  1.7
            12 |    5
            13 |    5
            14 |    5
            15 |    4
            16 |    5
            20 |  3.7
            21 |  2.3
            22 |  2.3
            23 |    4
            24 |    1
            25 |    1
            26 |    1
            27 |  3.7
            28 |  1.7
            29 |  2.3
            30 |  1.7
            31 |  1.7
            32 |  1.7
            33 |    5
            34 |    2
            35 |  2.7
            36 |    1
            37 |  1.3
            38 |    5
            39 |  2.3
            40 |    1
            41 |  2.3
            43 |    5
            44 |    3
            45 |  1.3
            46 |    1
            47 |    1
            48 |  1.7
            49 |    1
            50 |    4
            51 |    1
            52 |    1
            53 |  3.7
            55 |  2.7
            56 |    3
            57 |    3
            58 |    2
            59 |  3.3
            60 |    1
            61 |    1
            62 |  1.7
            63 |    1
            64 |    5
            65 |    1
            66 |    2
            67 |  1.3
            68 |    5
            69 |  3.7
            70 |    3
            71 |  1.3
            72 |    1
            73 |    5
            74 |  3.3
            75 |    1
            76 |    5
            77 |  1.7
            78 |    2
            79 |    1
            80 |  1.7
            81 |  2.3
            82 |    1
            83 |    1
            84 |  2.7
            85 |    1
            86 |    1
            87 |  2.7
            88 |  2.7
            89 |  1.7
            90 |    4
            91 |    2
            92 |    1
            93 |  2.7
            94 |    1
            95 |    1
            97 |    4
            98 |    5
            99 |  3.3
           100 |    4
           101 |    3
           102 |    5
           103 |    3
           104 |  1.7
           105 |    5
           106 |    2
           107 |    2
           108 |    1
           109 |  1.7
           110 |    5
           111 |  3.3
           112 |  1.7
           113 |    3
           126 |  3.3
           128 |  3.7
           129 |    3
           130 |    5
           131 |  2.7
           132 |    1
           133 |    1
           135 |  2.7
           136 |  1.7
           138 |    1
           139 |    1
           140 |    5
           141 |  2.3
           142 |    2
           143 |    2
           144 |    4
           145 |    3
           146 |    1
           148 |    2
           149 |    1
           150 |  2.7
           152 |  3.3
           153 |  2.7
           154 |    1
           155 |    1
           156 |  3.7
           157 |    2
           158 |  3.3
           160 |  1.7
           161 |  2.3
           162 |  2.3
           164 |    5
           165 |  3.7
           166 |    3
           167 |    4
           168 |    5
           169 |    1
           170 |    1
           171 |    1
           172 |  3.3
           173 |    1
           174 |    3
           175 |  2.3
           176 |    4
           177 |    1
           178 |  1.7
           180 |  2.7
           181 |    1
           182 |    4
           183 |  3.3
           184 |  2.3
           185 |    2
           186 |  3.3
           187 |  1.3
           188 |    2
           190 |    3
           192 |    1
           194 |  3.3
           201 |  3.3
           202 |    3
           205 |  3.3
           207 |    5
           219 |    2
           220 |  2.3
           224 |    1
           225 |  3.3
           228 |    1
           229 |  3.7
           230 |    1
           233 |  2.7
           235 |    5
           238 |  3.3
           239 |    2
           240 |  1.3
           241 |    1
           247 |    1
           248 |  2.3
           250 |  2.7
           263 |    5
           264 |    5
           265 |  2.7
           266 |    1
           267 |    4
           268 |    3
           270 |    5
           271 |    4
           272 |    3
           273 |    1
           286 |    2
           287 |    5
           288 |    5
           289 |  3.7
           290 |  2.7
           291 |  3.7
           292 |    1
           293 |    1
           294 |    1
           296 |  2.7
           297 |    1
           298 |    1
           299 |    1
           301 |  2.7
           302 |  2.3
           303 |    1
           304 |  3.3
           305 |    1
           306 |    1
           307 |  3.7
           308 |    5
           309 |    2
           310 |    5
           311 |  3.3
           312 |    5
           313 |    1
           314 |    3
           315 |  2.3
           316 |    1
           317 |    1
           318 |  2.7
           319 |    5
           320 |  1.3
           321 |    2
           322 |    5
           323 |  1.7
           324 |  3.3
           325 |    1
           326 |    1
           327 |  1.3
           328 |    4
           329 |  2.7
           330 |    2
           337 |    5
           338 |    1
           339 |    5
           340 |    1
           341 |  3.3
           343 |  3.7
           344 |    3
           345 |    2
           346 |    1
           347 |  1.3
           348 |  2.3
           349 |  1.7
           350 |    1
           351 |  2.3
           352 |    1
           353 |    5
           354 |    5
           355 |  3.3
           357 |  2.3
           358 |  3.7
           359 |    3
           360 |    4
           361 |    4
           362 |  2.7
           363 |  3.3
           364 |    2
           365 |    5
           366 |    5
           367 |    d
           368 |  3.3
           369 |  2.3
           370 |    5
           376 |  2.3
           377 |  1.7
           378 |  1.3
           379 |    1
           381 |    1
           383 |  2.3
           384 |    4
           385 |  3.7
           386 |    3
           387 |  1.3
           388 |    2
           389 |  2.3
           390 |  1.7
           391 |    3
           392 |  2.3
           393 |  2.3
           394 |  3.7
           395 |    1
           397 |    5
           399 |    5
           409 |  3.7
           410 |  2.3
           411 |    5
           412 |  3.3
           413 |    4
           415 |  3.7
           416 |  2.3
           417 |    1
           418 |    5
           419 |  3.3
           420 |    2
           421 |    5
           422 |  1.7
           423 |    1
           424 |  2.7
           425 |    5
           426 |    5
           427 |    1
           428 |  3.3
           429 |    5
           430 |  3.3
           431 |    1
           432 |  1.3
           434 |  1.7
           435 |    5
           436 |    5
           437 |    5
           438 |  3.7
           439 |    4
           440 |  2.7
           441 |  1.7
           442 |    5
           443 |  3.7
           444 |  2.7
           445 |    3
           446 |    2
           447 |    4
           448 |  1.7
           449 |    3
           450 |    5
           453 |    1
           454 |  3.3
           455 |    2
           456 |    3
           457 |    5
           458 |    3
           460 |  2.7
          1001 |    1
          1002 |  2.7
          1003 |  1.3
          1004 |  2.7
          1005 |  2.7
          1006 |    1
          1008 |    1
          1009 |    2
          1010 |    1
          1011 |    2
          1012 |    3
          1013 |  2.3
          1014 |  3.7
          1015 |  1.7
          1016 |  1.7
          1017 |    5
          1018 |    5
          1019 |    1
          1020 |  3.7
          1021 |    2
          1022 |    1
          1023 |    1
          1024 |  2.7
          1025 |    1
          1027 |  1.3
          1028 |    3
          1029 |  3.3
          1030 |  1.3
          1033 |  2.3
          1034 |    1
          1035 |    3
          1036 |    1
          1037 |    1
          1038 |  1.7
          1039 |    1
          1040 |  2.3
          1042 |    3
          1043 |    2
          1044 |  2.3
          1045 |  2.7
          1047 |    1
          1048 |  1.7
          1049 |  2.7
          1050 |  1.3
          1051 |    1
          1052 |    2
          1053 |  2.7
          1054 |  1.7
          1055 |  1.3
          1056 |  1.3
          1058 |  2.7
          1059 |  2.3
          1060 |    3
          1061 |    1
          1062 |    1
          1063 |    4
          1064 |    1
          1065 |  2.7
          1066 |    2
          1067 |    1
          1068 |  2.3
          1069 |    1
          1070 |    5
          1071 |    5
          1072 |    1
          1073 |    4
          1078 |    1
          1079 |    1
          1080 |    3
          1081 |    1
          1082 |  1.7
          1083 |  2.3
          1084 |  2.3
          1085 |  2.7
          1087 |    2
          1088 |  1.3
          1089 |  1.7
          1090 |    1
          1091 |    1
          1092 |    1
          1093 |    1
